Project Name,contract,logo_link,Group,M1,M3,M2,Holder_1,Seller_1,Buyer_1,n_holder,Holder,Seller,Buyer
Sneaky Vampire Syndicate,0x219b8ab790decc32444a6600971c7c3718252539,https://lh3.googleusercontent.com/adeDrvksEQYDG5HIqRYaQ76TiCJDRQpCdEwaIms1cKGNeFLaPB4zEMss7SN-N9pX_GdoAg2tO6TZ0dLOnEuWQ_XUbOF77lxuUan2ng=s130,3,7.80E-06,0.693,0.925,0.968841586,0.010643221,0.020515194,30,0.23477503,0.327153924,0.438071046
Soulda16Club,0xe361f10965542ee57d39043c9c3972b77841f581,https://openseauserdata.com/files/8b2f89f94a33ffe2a12bac420e953c16.png,2,0.410066076,0.072,0.652,0.857412653,0.081208687,0.061378659,35,0.865622485,0.04905847,0.085319044
SupDucks,0x3fe1a4c1481c8351e91b64d5c398b159de07cbc5,https://lh3.googleusercontent.com/WNd3NNCiOAkD3rUNCau9qXDPQsnH3ZA8PcDMhlsfLnK6J1vSNpJnPFCjA-_l03LbCxwAYC1Mj8IcRQch7YMTDLnn_c-jAQ03RWRdEw=s130,0,0.39027013,0.296,0.451,0.87601476,0.05904059,0.064944649,45,0.843013778,0.080709017,0.076277205
The Doge Pound,0xf4ee95274741437636e748ddac70818b4ed7d043,https://lh3.googleusercontent.com/uNkBbVvg7wyRjspsooFtYYbRHFHFISntxwijLRskjGhplP8A3Iz_4ApLU_yLp9BW-Ai0yUWC50A138IGUkII55QWRT7g12qmSRTlbA=s130,0,0.353852739,0.404,0.591,0.744971842,0.112630732,0.142397426,59,0.042532501,0.804522068,0.152945431
The Potatoz,0x39ee2c7b3cb80254225884ca001f57118c8f21b6,https://openseauserdata.com/files/13a25e4673666dcc2efc436c8464131d.gif,2,0.365363515,0.235,0.063,0.818365288,0.086781029,0.094853683,13,0.06387149,0.222389794,0.713738716
tubby cats by tubby collective,0xca7ca7bcc765f77339be2d648ba53ce9c8a262bd,https://lh3.googleusercontent.com/XHZY9623keDQqFSDHKqOdcjD99Y7N82K1egYRM2Mm1Z-Jxn5myrkKiC5NBktWKStVtTzDzwELy9dNpzTWJTIkLsdMIxUHI86jduQ=s120,1,0.343284435,0.472,0.672,0.959365433,0.01600334,0.024631227,11,0.146962709,0.366455951,0.48658134
V1 CryptoPunks Wrapped,0x282bdd42f4eb70e7a9d9f40c8fea0825b7f68c5d,https://lh3.googleusercontent.com/Vq3gqBtm5JxY8XoHBCgbYp414gZBnOYr9EKSd3zx1Wo5onxraO-IE9SM0Y9RM8S7kb4NaIsh11R6or5bPrhy_ZAx12MV2rXdbrAQ=s120,1,1,0.557,0.378,0.953156823,0.034170627,0.01267255,6,0.70638579,0.111310406,0.182303804
VeeFriends Series 2,0x9378368ba6b85c1fba5b131b530f5f5bedf21a18,https://lh3.googleusercontent.com/LrXPPC-y_I4qu9Y1PytwmYUUn7WVu9bXJDUFwKZYzmGuXzdNz41eINzOGOZHKmjv1aFtn5GPqKPk1RJd-Tjkv9CPIG32EG9ygGtJeOk=s120,4,0.67492112,0.714,0.312,0.939518336,0.019430761,0.041050903,91,0.320571491,0.224072157,0.455356352
Vox Collectibles,0xad9fd7cb4fc7a0fbce08d64068f60cbde22ed34c,https://lh3.googleusercontent.com/2QUNq1tqWDePg7jCqM7usnLNukDRTUc33VgVLkBYry4VKkess3MgRGw5fpz3qD5i2shfuyWdJH8Z8lWWyn39YcfeOMz7SjScZXnL=s130,3,0.278291333,0.443,0.984,0.93830703,0.033572453,0.028120517,73,0.210203072,0.066242712,0.723554216
World of Women,0xe785e82358879f061bc3dcac6f0444462d4b5330,https://lh3.googleusercontent.com/hlXF2pfdF0Lw0Vy78fNs1_E2OLSa6UOiBEv2SZPe2NG4qCrb0ARplv8r7A8o6TLrn0pGi7h4GYREDiCz4f-qlt1lCN8W9FzUFVFYeA=s130,3,0.305003757,0.386,0.727,0.94116341,0.040186501,0.018650089,22,0.290635886,0.085956695,0.623407419
World of Women Galaxy,0xf61f24c2d93bf2de187546b14425bf631f28d6dc,https://lh3.googleusercontent.com/hP4JJhiY5yXu1mCvNycTke2O_xbtgIFfkLTjfT7C9TNKinkGpP2COikt7cwn0xqzoATRNC21wsiwy_Fe-MQ3PPTgRjkbbCfJf__L=s120,4,0.622626486,0.305,0.317,0.956419153,0.024427481,0.019153366,61,0.615755991,0.097308488,0.286935521
Zipcy's SuperNormal,0xd532b88607b1877fe20c181cba2550e3bbd6b31c,https://lh3.googleusercontent.com/cZ0lurTxSFfA6lZ_5670kU-GB_okeuTv1QSxCWWF_A0goQOGnRxZvVIOnHl3Rkfeqq-Gdmn0CZbcR7_N_UYM00gJD3w7nCwEU0Ns8yY=s120,1,0.36562713,0.768,0.258,0.970673276,0.019619992,0.009706733,14,0.045532704,0.602575731,0.351891566
